   72.0     0.985621     0.974235     0.991018     0.977145     1.015317
   73.0     0.985636     0.974156     0.991635     0.978088     1.015943
   74.0     0.985651     0.973979     0.992285     0.979251     1.016991
   75.0     0.985665     0.973688     0.992882     0.980680     1.018552
   76.0     0.985680     0.973281     0.993356     0.982392     1.020656
   77.0     0.985694     0.972769     0.993653     0.984370     1.023273
   78.0     0.985709     0.972038     0.993616     0.986756     1.026473
   79.0     0.985724     0.971294     0.993381     0.989235     1.029901
   80.0     0.985738     0.970716     0.993066     0.991512     1.033186
   81.0     0.985753     0.970461     0.992774     0.993312     1.035941
   82.0     0.985768     0.970507     0.992989     0.994671     1.038319
   83.0     0.985782     0.970887     0.993508     0.995563     1.040296
   84.0     0.985797     0.971727     0.994460     0.996123     1.042008
   85.0     0.985812     0.972790     0.995612     0.996293     1.043381
   86.0     0.985826     0.973841     0.996736     0.996100     1.044420
   87.0     0.985841     0.974649     0.997612     0.995652     1.045204
   88.0     0.985857     0.974924     0.997972     0.995031     1.045880
   89.0     0.985872     0.974856     0.997987     0.994169     1.046282
   90.0     0.985886     0.974522     0.997727     0.993187     1.046436
   91.0     0.985898     0.974025     0.997290     0.992205     1.046395
   92.0     0.985907     0.973490     0.996799     0.991343     1.046240
   93.0     0.985913     0.973065     0.996403     0.990722     1.046082
   94.0     0.985916     0.972923     0.996276     0.990463     1.046058
   95.0     0.985916     0.972895     0.996251     0.990412     1.046054
   96.0     0.985915     0.972939     0.996291     0.990493     1.046061
   97.0     0.985914     0.972999     0.996344     0.990601     1.046071
   98.0     0.985914     0.972999     0.996344     0.990601     1.046071
   99.0     0.985914     0.972999     0.996344     0.990601     1.046071
  100.0     0.985914     0.972999     0.996344     0.990601     1.046071
