NEPOCH: 63 
SNTYPE: IIP 
FILTER:  a  $SNDATA_ROOT/filters/SDSS/u.dat 
FILTER:  b  $SNDATA_ROOT/filters/SDSS/g.dat 
FILTER:  c  $SNDATA_ROOT/filters/SDSS/r.dat 
FILTER:  d  $SNDATA_ROOT/filters/SDSS/i.dat 
FILTER:  e  $SNDATA_ROOT/filters/SDSS/z.dat 
EPOCH:  -28.8487     -0.687    4.323    5.171    7.105   19.910 
EPOCH:  -27.1003     -0.646    4.020    4.819    6.499   17.612 
EPOCH:  -25.3519     -0.605    3.766    4.538    6.089   16.525 
EPOCH:  -23.6035     -0.565    3.521    4.274    5.755   15.556 
EPOCH:  -21.8551     -0.503    3.289    4.020    5.462   14.110 
EPOCH:  -20.1067    -11.334   -8.986   -8.416   -6.087    3.579 
EPOCH:  -18.3582    -14.080  -11.721  -11.301   -8.893    0.846 
EPOCH:  -16.6098    -15.500  -13.004  -13.007  -10.658   -1.066 
EPOCH:  -14.8614    -16.672  -13.629  -14.141  -12.359   -3.400 
EPOCH:  -13.1130    -17.390  -14.032  -14.675  -13.087   -4.959 
EPOCH:  -11.3646    -17.762  -14.409  -15.072  -13.392   -6.099 
EPOCH:   -9.6162    -17.912  -14.935  -15.540  -13.673   -7.060 
EPOCH:   -7.8678    -17.975  -15.601  -16.072  -14.089   -7.943 
EPOCH:   -6.1194    -17.991  -16.257  -16.570  -14.596   -9.084 
EPOCH:   -4.3710    -17.907  -16.779  -16.957  -15.208  -10.647 
EPOCH:   -2.6226    -17.821  -17.130  -17.236  -16.262  -12.304 
EPOCH:   -0.8742    -17.798  -17.350  -17.423  -17.386  -13.750 
EPOCH:    0.8742    -17.783  -17.484  -17.524  -17.847  -14.694 
EPOCH:    2.6226    -17.730  -17.550  -17.563  -17.964  -15.247 
EPOCH:    4.3710    -17.626  -17.563  -17.571  -17.966  -15.561 
EPOCH:    6.1194    -17.486  -17.548  -17.572  -17.930  -15.792 
EPOCH:    7.8678    -17.331  -17.518  -17.572  -17.883  -15.996 
EPOCH:    9.6162    -17.180  -17.481  -17.567  -17.836  -16.197 
EPOCH:   11.3646    -17.055  -17.444  -17.555  -17.797  -16.399 
EPOCH:   13.1130    -16.942  -17.411  -17.535  -17.769  -16.580 
EPOCH:   14.8614    -16.814  -17.375  -17.511  -17.742  -16.730 
EPOCH:   16.6098    -16.668  -17.337  -17.492  -17.706  -16.862 
EPOCH:   18.3582    -16.525  -17.297  -17.482  -17.654  -16.993 
EPOCH:   20.1067    -16.400  -17.260  -17.477  -17.594  -17.131 
EPOCH:   21.8551    -16.297  -17.225  -17.467  -17.543  -17.258 
EPOCH:   23.6035    -16.212  -17.189  -17.449  -17.508  -17.347 
EPOCH:   25.3519    -16.117  -17.144  -17.430  -17.478  -17.390 
EPOCH:   27.1003    -15.966  -17.084  -17.413  -17.433  -17.417 
EPOCH:   28.8487    -15.752  -17.018  -17.403  -17.366  -17.477 
EPOCH:   30.5971    -15.570  -16.962  -17.398  -17.293  -17.586 
EPOCH:   32.3455    -15.485  -16.910  -17.386  -17.238  -17.711 
EPOCH:   34.0939    -15.428  -16.855  -17.362  -17.214  -17.778 
EPOCH:   35.8423    -15.315  -16.814  -17.333  -17.219  -17.738 
EPOCH:   37.5907    -15.125  -16.805  -17.308  -17.215  -17.625 
EPOCH:   39.3391    -14.909  -16.807  -17.289  -17.173  -17.557 
EPOCH:   41.0875    -14.755  -16.775  -17.282  -17.110  -17.580 
EPOCH:   42.8359    -14.651  -16.722  -17.272  -17.058  -17.615 
EPOCH:   44.5843    -14.546  -16.676  -17.239  -17.022  -17.620 
EPOCH:   46.3327    -14.422  -16.642  -17.193  -16.987  -17.651 
EPOCH:   48.0811    -14.269  -16.613  -17.162  -16.940  -17.731 
EPOCH:   49.8295    -14.111  -16.581  -17.144  -16.888  -17.759 
EPOCH:   51.5779    -13.977  -16.538  -17.136  -16.833  -17.742 
EPOCH:   53.3263    -13.908  -16.488  -17.130  -16.795  -17.715 
EPOCH:   55.0747    -13.892  -16.448  -17.112  -16.805  -17.606 
EPOCH:   56.8231    -13.875  -16.410  -17.078  -16.837  -17.386 
EPOCH:   58.5716    -13.843  -16.383  -17.039  -16.850  -17.187 
EPOCH:   60.3200    -13.776  -16.366  -17.005  -16.841  -17.075 
EPOCH:   62.0684    -13.663  -16.347  -16.977  -16.821  -17.003 
EPOCH:   63.8168    -13.522  -16.320  -16.952  -16.798  -16.929 
EPOCH:   65.5652    -13.370  -16.288  -16.930  -16.775  -16.842 
EPOCH:   67.3136    -13.217  -16.254  -16.908  -16.754  -16.740 
EPOCH:   69.0620    -13.069  -16.221  -16.888  -16.733  -16.617 
EPOCH:   70.8104    -12.929  -16.187  -16.869  -16.712  -16.471 
EPOCH:   72.5588    -12.797  -16.153  -16.851  -16.691  -16.302 
EPOCH:   74.3072    -12.672  -16.119  -16.833  -16.671  -16.110 
EPOCH:   76.0556    -12.553  -16.083  -16.817  -16.650  -15.892 
EPOCH:   77.8040    -12.443  -16.045  -16.802  -16.628  -15.641 
EPOCH:   79.5524    -12.340  -16.004  -16.788  -16.606  -15.344 
END: 
